type	a	b	c	d	dir	exp_a	DP_rows	RR_rows	OR	MS	Dice	PMI	chi2_signed	G_signed	t	p_fisher_1
marijuana	25	70040	37	2498639	1	1.69111249440874	0.000342003689915472	24.0961192406279	24.1043631438406	0.000356811532148719	0.000712992142826586	3.88588355739082	330.286975495778	98.5288783064442	4.66180018641199	0
root	24	70041	17	2498659	1	1.11831632694771	0.000335735467674522	50.3467150251237	50.3636239950214	0.00034253907086277	0.000684677488374747	4.42363417410605	481.314110023339	118.194771964435	4.6707259408063	0
ceos	23	70042	27	2498649	1	1.36380039871673	0.000317460886866074	30.3789592204065	30.3886065186285	0.000328266609576822	0.000656065036012266	4.07592944428526	352.882377897595	98.1862568699249	4.51147967977809	0
morris	23	70042	40	2498636	1	1.71838850238307	0.000312258131486825	20.5057974737744	20.512202678393	0.000328266609576822	0.000655943417750399	3.74250571056007	270.962185782202	85.2075516615991	4.43754261810082	0
stamler	23.5	70042.5	0.5	2498676.5	1	0.654633024790724	0.000335197947368025	1676.10280307139	1676.6648177892	0.000335398053264065	0.000670566414609787	5.16583056156699	819.620780558276	164.456114655947	4.71266093216722	0
scientific	22	70043	150	2498526	1	4.69147337158554	0.000253962355453386	5.23046428316563	5.23179304141741	0.000313994148290873	0.000626450446345943	2.22939054193817	65.6523685040109	35.2361265655679	3.69020607866966	2.47209730463993e-09
session	22	70043	160	2498516	1	4.96423345132888	0.000249960235930887	4.90356026546778	4.9047863455306	0.000313994148290873	0.000626361268096858	2.14786065644158	60.1052360690682	33.133785761085	3.6320531852492	7.14844816673832e-09
beer	21	70044	56	2498620	1	2.10025261402376	0.000277309817678929	13.3733461785485	13.3770558506082	0.000299721687004924	0.000598785321205554	3.32175456008683	174.849282969044	64.1392949951235	4.1242798590247	1.33226762955019e-15
eating	21	70044	105	2498571	1	3.43677700476615	0.000257699432018683	7.13245129522586	7.13428987493575	0.000299721687004924	0.000598367312048553	2.61126117728182	92.2759983340705	43.5440390944203	3.83262513405603	3.83757470245882e-11
smoke-free	21.5	70044.5	0.5	2498676.5	1	0.600080272724831	0.000306653432196615	1533.45575600148	1533.92613981112	0.000306853538092656	0.000613514438990983	5.16303734667531	748.331699419999	150.135900893841	4.5074114710667	0
